year,player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
2020,DeMarre Carroll,SF,33,SAS,15,135,5.0,.437,.448,.690,5.6,19.1,12.3,10.2,0.7,1.3,20.9,15.3,,-0.2,0.1,-0.1,-0.035,,-5.9,-1.2,-7.1,-0.2
2020,DeMarre Carroll,SF,33,HOU,3,46,8.1,.455,.727,.455,4.5,20.5,12.5,14.1,2.0,3.7,27.5,16.3,,-0.1,0.1,0.0,-0.013,,-3.8,-0.7,-4.5,0.0
2020,Jevon Carter,PG,24,PHO,46,662,10.3,.528,.560,.103,3.6,10.6,7.1,12.7,2.6,1.5,13.3,13.5,,0.2,0.7,0.9,.068,,-1.7,1.2,-0.5,0.2
2020,Vince Carter,SF,43,ATL,55,797,7.5,.464,.656,.106,2.1,13.8,7.9,7.9,1.3,2.6,10.1,16.5,,-0.6,0.4,-0.2,-0.014,,-3.4,-1.0,-4.4,-0.5
2020,Wendell Carter,C,20,CHI,38,1127,16.1,.588,.089,.430,12.3,24.9,18.3,6.1,1.3,2.8,14.2,16.5,,1.7,1.4,3.1,.134,,-1.8,-0.3,-2.0,0.0
2020,Michael Carter-Williams,SG,28,ORL,37,660,15.1,.509,.265,.340,5.9,14.7,10.2,20.9,2.8,2.5,13.9,17.5,,0.5,1.0,1.5,.109,,-1.7,2.0,0.3,0.4
2020,Alex Caruso,PG,25,LAL,55,993,11.2,.540,.412,.296,1.5,10.1,5.9,12.7,2.8,1.4,13.2,13.8,,0.6,1.6,2.2,.106,,-2.3,2.4,0.0,0.5
2020,Willie Cauley-Stein,C,26,TOT,50,1051,16.9,.585,.003,.216,7.9,22.8,15.1,9.9,2.2,4.9,10.9,14.5,,1.4,1.4,2.8,.127,,-1.4,1.6,0.2,0.6
2020,Willie Cauley-Stein,C,26,GSW,41,940,16.2,.573,.000,.222,7.9,22.0,14.6,10.0,2.3,4.8,11.0,14.4,,1.0,1.2,2.2,.114,,-1.6,1.5,-0.1,0.5
2020,Willie Cauley-Stein,C,26,DAL,9,111,22.9,.682,.029,.176,8.7,29.6,19.3,9.7,1.7,6.1,9.8,15.7,,0.3,0.2,0.5,.233,,0.6,2.4,3.0,0.1
